Block,City,Zip,CrimeCode,CrimeDescription,AgencyId,Location 1
0 CORTE EULALIA,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.67778988, -122.11597044)"
0 CORTE EULALIA,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.67780014, -122.11594607)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,100,FALSE IMPRISONMENT,ACSO,"(37.68665812, -122.11700893)"
0 E LEWELLING BL,SAN LORENZO,94580,11C,ORAL COPULATION,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68665812, -122.11700893)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,11A,RAPE BY FORCE/FEAR/ETC,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13A,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,OBSTRUCT/RESIST EXECUTIVE OFFICER,ACSO,"(37.68670169, -122.12205245)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.68665615, -122.11691637)"
0 E LEWELLING BL,SAN LORENZO,94580,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68670177, -122.12199712)"
0 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68665812, -122.11700893)"
0 FLORENCE ST,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.67372711, -122.11027013)"
0 KILKARE RD,SU,94586,13B,BATTERY ON PERSON,ACSO,"(37.59575127, -121.88971474)"
0 PASEO GRANDE,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.68416688, -122.11848861)"
0 PASEO GRANDE,SAN LORENZO,94580,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,ACSO,"(37.68416688, -122.11848861)"
0 PASEO GRANDE,SAN LORENZO,94580,13B,INFLICT INJURY UPON CHILD,ACSO,"(37.7098909, -122.12296724)"
0 VIA MATERO,SAN LORENZO,94580,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.68024874, -122.11783849)"
0 VIA MATERO,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.68008836, -122.11809489)"
0 VIA MATERO,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.68024874, -122.11783849)"
0 W BLOSSOM WY,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.67539363, -122.11126618)"
0 W BLOSSOM WY,HAYWARD,94541,13A,EXHIBIT FIREARM,ACSO,"(37.67530605, -122.11134201)"
1000 DELANO ST,SAN LORENZO,94580,13A,ATTEMPT MURDER,ACSO,"(37.69312169, -122.11528701)"
1000 GILBERT ST,HAYWARD,94541,13B,BATTERY ON PERSON,ACSO,"(37.68770726, -122.10131069)"
1000 GILBERT ST,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.6876969, -122.10132246)"
1000 GILBERT ST,HAYWARD,94541,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.6876969, -122.10132246)"
1000 GROVE WY,HAYWARD,94541,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.68115671, -122.09311515)"
1000 GROVE WY,HAYWARD,94541,100,FALSE IMPRISONMENT,ACSO,"(37.68115671, -122.09311515)"
1000 GROVE WY,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.68115671, -122.09311515)"
1000 PASEO GRANDE,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.67655444, -122.13514217)"
1000 SANTA ANA ST,SAN LORENZO,94580,11C,ORAL COPULATION OR SEXUAL PENETRATION W/CHILD 10YRS OR YOUNG,ACSO,"(37.6938346, -122.11564323)"
1000 VIA HONDA,SAN LORENZO,94580,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.66986993, -122.12991469)"
1000 VIA HONDA,SAN LORENZO,94580,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,ACSO,"(37.66982501, -122.1302319)"
