Block,Primary Type,Location Description,Arrest,Domestic,Latitude,Longitude,Location,,,,
0000X E GARFIELD BLVD,CRIMINAL DAMAGE,RESTAURANT,FALSE,FALSE,41.79424727,-87.62277244,"(41.79424727372504, -87.6227724449431)",,,,
035XX N CLARK ST,THEFT,BAR OR TAVERN,FALSE,FALSE,41.94606093,-87.65577098,"(41.94606092631204, -87.65577098138057)",,,,
043XX N ST LOUIS AVE,BATTERY,RESIDENCE,FALSE,TRUE,41.96051644,-87.71542316,"(41.96051644258202, -87.71542315785081)",,,,
007XX N RUSH ST,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.89624808,-87.62534896,"(41.89624808233901, -87.62534896126877)",,,,
057XX S ASHLAND AVE,THEFT,STREET,FALSE,FALSE,41.79020103,-87.66463506,"(41.79020103095888, -87.66463506035082)",,,,
052XX S COTTAGE GROVE AVE,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.80024874,-87.60649936,"(41.8002487447964, -87.6064993630746)",,,,
025XX N PARKSIDE AVE,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.92702258,-87.76746175,"(41.92702258037359, -87.76746174548566)",,,,
007XX W SCHUBERT AVE,CRIMINAL DAMAGE,APARTMENT,TRUE,FALSE,41.9314564,-87.64794339,"(41.931456397252816, -87.64794339489562)",,,,
012XX S KARLOV AVE,BATTERY,APARTMENT,TRUE,FALSE,41.86469418,-87.72743008,"(41.86469417801872, -87.7274300751515)",,,,
062XX S CICERO AVE,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.77906049,-87.74246219,"(41.779060487054096, -87.74246219057474)",,,,
0000X S B23 ST,PUBLIC PEACE VIOLATION,AIRPORT EXTERIOR - NON-SECURE AREA,FALSE,FALSE,41.78668044,-87.74602232,"(41.786680442092596, -87.74602232060576)",,,,
103XX S MICHIGAN AVE,BATTERY,RESTAURANT,TRUE,FALSE,41.70688511,-87.62011332,"(41.70688510523505, -87.62011332088876)",,,,
027XX N KILDARE AVE,THEFT,SIDEWALK,TRUE,FALSE,41.93086729,-87.73446662,"(41.93086728953417, -87.73446662299136)",,,,
081XX S DORCHESTER AVE,BATTERY,RESIDENCE,TRUE,FALSE,41.7469,-87.59066622,"(41.746900003688744, -87.59066621636131)",,,,
024XX W 79TH ST,ASSAULT,SMALL RETAIL STORE,TRUE,FALSE,41.74992092,-87.68340589,"(41.74992092164015, -87.68340589017753)",,,,
056XX S GREEN ST,ASSAULT,STREET,FALSE,FALSE,41.79228377,-87.64646507,"(41.792283768557816, -87.64646507193288)",,,,
023XX N PARKSIDE AVE,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,41.92246636,-87.76729991,"(41.92246636119779, -87.76729990631743)",,,,
072XX S RHODES AVE,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,41.7632585,-87.61172601,"(41.763258504927435, -87.61172600926565)",,,,
012XX W 97TH PL,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.71686468,-87.65429027,"(41.71686467907034, -87.654290274443)",,,,
024XX W TAYLOR ST,THEFT,STREET,FALSE,FALSE,41.86943023,-87.68803807,"(41.86943023311384, -87.68803807030443)",,,,
010XX W 81ST ST,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.74700259,-87.65102287,"(41.7470025946582, -87.6510228654088)",,,,
113XX S INDIANA AVE,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,41.68853717,-87.61800948,"(41.68853717159382, -87.61800948031267)",,,,
031XX N CLARK ST,THEFT,SMALL RETAIL STORE,FALSE,FALSE,41.93859389,-87.6497488,"(41.938593894894915, -87.649748796714)",,,,
017XX N KEDVALE AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,41.91198942,-87.73021237,"(41.911989421518676, -87.73021236770677)",,,,
017XX N MAYFIELD AVE,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,41.91249694,-87.77297241,"(41.91249694136127, -87.77297240864354)",,,,
024XX S TROY ST,THEFT,RESIDENCE,FALSE,FALSE,41.84727795,-87.70374537,"(41.84727795062623, -87.703745374143)",,,,
033XX W HARRISON ST,CRIMINAL TRESPASS,SMALL RETAIL STORE,TRUE,FALSE,41.87352015,-87.71058533,"(41.873520152989656, -87.71058533178136)",,,,
001XX E WACKER DR,BATTERY,HOTEL/MOTEL,TRUE,FALSE,41.88800978,-87.62266717,"(41.88800978338203, -87.62266716550056)",,,,
019XX N MILWAUKEE AVE,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,41.91711457,-87.68811272,"(41.91711457253658, -87.68811271975764)",,,,
029XX E 92ND ST,THEFT,CONVENIENCE STORE,TRUE,FALSE,41.72833398,-87.55286839,"(41.72833397934643, -87.55286839347956)",,,,
028XX W CERMAK RD,PUBLIC PEACE VIOLATION,SIDEWALK,TRUE,FALSE,41.85198892,-87.69710332,"(41.85198892192694, -87.69710331740666)",,,,
047XX S ARCHER AVE,OTHER OFFENSE,VEHICLE NON-COMMERCIAL,TRUE,FALSE,41.80820893,-87.71406096,"(41.80820893474032, -87.71406096171411)",,,,
059XX W MADISON ST,OTHER OFFENSE,OTHER,FALSE,FALSE,41.88020538,-87.77408819,"(41.8802053775508, -87.77408818961497)",,,,
060XX N BROADWAY,THEFT,GROCERY FOOD STORE,TRUE,FALSE,41.99120144,-87.66015906,"(41.99120143563204, -87.66015906423067)",,,,
0000X W 95TH ST,THEFT,CONVENIENCE STORE,FALSE,FALSE,41.72173465,-87.62455359,"(41.72173465483593, -87.6245535938707)",,,,
070XX S BISHOP ST,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,41.76569518,-87.66005472,"(41.76569518292758, -87.66005472009161)",,,,
033XX W MARQUETTE RD,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,41.77172686,-87.70656695,"(41.77172685844983, -87.70656695247797)",,,,
047XX N KIMBALL AVE,BATTERY,SIDEWALK,FALSE,FALSE,41.96786329,-87.71349889,"(41.96786329192619, -87.71349888993821)",,,,
037XX S INDIANA AVE,WEAPONS VIOLATION,VEHICLE NON-COMMERCIAL,TRUE,FALSE,41.82731543,-87.62182718,"(41.82731542687345, -87.62182717791481)",,,,
053XX S BISHOP ST,BATTERY,STREET,FALSE,FALSE,41.79683943,-87.66086938,"(41.7968394314, -87.66086938431769)",,,,
007XX W 80TH ST,CRIMINAL DAMAGE,APARTMENT,FALSE,FALSE,41.74895595,-87.6421998,"(41.74895594867505, -87.64219980147826)",,,,
009XX W FULLERTON AVE,THEFT,GROCERY FOOD STORE,TRUE,FALSE,41.92527024,-87.65336729,"(41.925270240083584, -87.65336729238003)",,,,
032XX W 16TH ST,BATTERY,BAR OR TAVERN,TRUE,FALSE,41.85894898,-87.70720268,"(41.85894898011078, -87.70720267732403)",,,,
047XX N SPAULDING AVE,THEFT,APARTMENT,FALSE,FALSE,41.96733955,-87.71103663,"(41.96733954924975, -87.7110366326786)",,,,
016XX W GRAND AVE,BATTERY,STREET,FALSE,FALSE,41.89108449,-87.66726762,"(41.89108449094877, -87.66726762346289)",,,,
056XX W DIVERSEY AVE,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,41.9311493,-87.76734075,"(41.931149302528496, -87.76734074720626)",,,,
020XX W 63RD ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,41.77919405,-87.67467417,"(41.779194048055615, -87.67467417318251)",,,,
041XX W CHICAGO AVE,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.89516994,-87.73072692,"(41.89516994469549, -87.73072691612997)",,,,
102XX S AVENUE L,CRIMINAL DAMAGE,RESIDENCE-GARAGE,FALSE,FALSE,41.70900215,-87.53634713,"(41.70900215468552, -87.53634713474194)",,,,
073XX S CARPENTER ST,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,41.7608336,-87.6505135,"(41.760833604663276, -87.6505135020599)",,,,
053XX S PULASKI RD,BATTERY,HOTEL/MOTEL,TRUE,FALSE,41.79666435,-87.72341011,"(41.79666434947696, -87.72341011116546)",,,,
067XX W 63RD ST,WEAPONS VIOLATION,STREET,TRUE,FALSE,41.77744587,-87.78892088,"(41.777445867051654, -87.78892088483485)",,,,
004XX W 42ND ST,CRIMINAL DAMAGE,OTHER,TRUE,FALSE,41.81826145,-87.636044,"(41.81826144750315, -87.63604399630015)",,,,
118XX S LOWE AVE,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,41.67860194,-87.63846518,"(41.67860193754234, -87.6384651752446)",,,,
0000X W ILLINOIS ST,BATTERY,SIDEWALK,TRUE,FALSE,41.89093466,-87.63016747,"(41.890934660435846, -87.63016746855398)",,,,
060XX N LINCOLN AVE,BATTERY,HOTEL/MOTEL,FALSE,FALSE,41.99228242,-87.71068337,"(41.99228241760049, -87.7106833705017)",,,,
118XX S LOWE AVE,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.67952971,-87.63849546,"(41.67952970704917, -87.63849546191264)",,,,
060XX N BROADWAY,THEFT,GROCERY FOOD STORE,TRUE,FALSE,41.99120144,-87.66015906,"(41.99120143563204, -87.66015906423067)",,,,
013XX N CLARK ST,THEFT,STREET,FALSE,FALSE,41.90598221,-87.63166282,"(41.905982211544774, -87.63166282330337)",,,,
008XX W ROSCOE ST,THEFT,BAR OR TAVERN,FALSE,FALSE,41.94372216,-87.64963521,"(41.943722157016936, -87.6496352074418)",,,,
014XX N HALSTED ST,THEFT,STREET,FALSE,FALSE,41.90648339,-87.64830976,"(41.9064833851609, -87.64830976384397)",,,,
080XX S MARYLAND AVE,ASSAULT,OTHER,TRUE,FALSE,41.74827908,-87.60374014,"(41.74827907799343, -87.60374013515515)",,,,
029XX W WILCOX ST,OTHER OFFENSE,BAR OR TAVERN,FALSE,FALSE,41.87931778,-87.70036849,"(41.879317780141804, -87.70036848551543)",,,,
031XX N PARKSIDE AVE,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,41.93716148,-87.76781317,"(41.937161483834984, -87.76781316675702)",,,,
018XX N MILWAUKEE AVE,CRIMINAL DAMAGE,COMMERCIAL / BUSINESS OFFICE,TRUE,FALSE,41.91409148,-87.68343305,"(41.914091482710255, -87.68343304980655)",,,,
014XX N KINGSBURY ST,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,41.90703296,-87.65073583,"(41.90703295768896, -87.65073583312098)",,,,
020XX N LAWNDALE AVE,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.91734085,-87.71937077,"(41.91734084656548, -87.71937077061577)",,,,
094XX S COMMERCIAL AVE,CRIMINAL DAMAGE,BRIDGE,TRUE,FALSE,41.7243199,-87.55097548,"(41.72431990274957, -87.55097548109153)",,,,
015XX N AVERS AVE,BATTERY,APARTMENT,TRUE,FALSE,41.90933884,-87.72300734,"(41.90933884087898, -87.72300733816579)",,,,
015XX W 87TH ST,CRIMINAL DAMAGE,SIDEWALK,TRUE,FALSE,41.73592204,-87.66143195,"(41.735922036026516, -87.66143195298899)",,,,
0000X E 51ST ST,INTERFERENCE WITH PUBLIC OFFICER,STREET,TRUE,FALSE,41.80206281,-87.62541115,"(41.802062812492515, -87.62541114995193)",,,,
0000X N STATE ST,DECEPTIVE PRACTICE,CTA TRAIN,FALSE,FALSE,41.88247553,-87.62770436,"(41.88247552623765, -87.62770435784026)",,,,
006XX W 63RD ST,CRIMINAL TRESPASS,SMALL RETAIL STORE,TRUE,FALSE,41.77990379,-87.64180893,"(41.77990379366332, -87.64180892789504)",,,,
030XX S EMERALD AVE,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.8383427,-87.6449269,"(41.838342697730994, -87.64492689619769)",,,,
014XX W WEBSTER AVE,THEFT,OTHER,FALSE,FALSE,41.92149873,-87.66489003,"(41.92149872886477, -87.66489003285125)",,,,
042XX W ROOSEVELT RD,THEFT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,41.86619702,-87.73088893,"(41.86619701636476, -87.73088893465528)",,,,
003XX S WESTERN AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,41.87702582,-87.68648555,"(41.87702581528552, -87.68648555431434)",,,,
044XX W GLADYS AVE,CRIMINAL TRESPASS,APARTMENT,TRUE,FALSE,41.87593376,-87.73616943,"(41.87593376370751, -87.73616942744731)",,,,
024XX S HAMLIN AVE,THEFT,STREET,FALSE,FALSE,41.84760264,-87.7196233,"(41.84760264041372, -87.71962329675725)",,,,
023XX W TAYLOR ST,THEFT,APARTMENT,FALSE,FALSE,41.86911855,-87.68386308,"(41.86911855224439, -87.68386307957421)",,,,
008XX N MICHIGAN AVE,THEFT,DEPARTMENT STORE,TRUE,FALSE,41.89766842,-87.62426808,"(41.897668415207896, -87.6242680762626)",,,,
063XX S DAMEN AVE,CRIMINAL TRESPASS,RESIDENCE,TRUE,FALSE,41.77829678,-87.67373746,"(41.77829677835404, -87.67373745527844)",,,,
052XX N BROADWAY,THEFT,DRUG STORE,TRUE,FALSE,41.97660527,-87.65972806,"(41.97660527441601, -87.65972806292842)",,,,
062XX S ADA ST,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,41.78106719,-87.6583907,"(41.781067194035856, -87.65839070254519)",,,,
010XX W 70TH ST,THEFT,STREET,FALSE,FALSE,41.76705031,-87.64973645,"(41.767050309981386, -87.64973645195533)",,,,
064XX S INGLESIDE AVE,CRIMINAL TRESPASS,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,41.7774666,-87.60145531,"(41.7774666039466, -87.60145530835698)",,,,
006XX W MADISON ST,THEFT,OTHER,FALSE,FALSE,41.88171402,-87.64374548,"(41.88171402290719, -87.64374547537341)",,,,
078XX S WESTERN AVE,BATTERY,RESTAURANT,TRUE,FALSE,41.75104116,-87.68302079,"(41.75104116443342, -87.68302078798479)",,,,
0000X N MAYFIELD AVE,THEFT,STREET,FALSE,FALSE,41.88157823,-87.77198675,"(41.881578227359164, -87.77198674658612)",,,,
119XX S MICHIGAN AVE,CRIMINAL TRESPASS,TAVERN/LIQUOR STORE,TRUE,FALSE,41.67637672,-87.62061132,"(41.67637671980769, -87.6206113163474)",,,,
003XX E BENTON PL,THEFT,GROCERY FOOD STORE,TRUE,FALSE,41.88538244,-87.61895045,"(41.88538243931252, -87.61895044684096)",,,,
058XX N KOSTNER AVE,THEFT,PARK PROPERTY,FALSE,FALSE,41.98797712,-87.73816904,"(41.987977122911985, -87.73816903987637)",,,,
051XX W BELMONT AVE,THEFT,ATHLETIC CLUB,FALSE,FALSE,41.93860642,-87.7554325,"(41.93860641527157, -87.75543250231927)",,,,
041XX W WELLINGTON AVE,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.93549848,-87.73111555,"(41.935498477678074, -87.73111555359147)",,,,
066XX S WESTERN AVE,THEFT,COMMERCIAL / BUSINESS OFFICE,TRUE,FALSE,41.77245936,-87.68331406,"(41.77245935905013, -87.68331405663457)",,,,
048XX S DREXEL BLVD,CRIMINAL DAMAGE,APARTMENT,FALSE,FALSE,41.80721246,-87.60370273,"(41.807212457001384, -87.60370272642686)",,,,
036XX N SOUTHPORT AVE,THEFT,GROCERY FOOD STORE,TRUE,FALSE,41.94800105,-87.66418682,"(41.948001046799696, -87.66418682151203)",,,,
034XX W LAWRENCE AVE,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,41.96826675,-87.71554683,"(41.968266752136024, -87.71554683061579)",,,,
024XX S HAMLIN AVE,THEFT,STREET,FALSE,FALSE,41.84760264,-87.7196233,"(41.84760264041372, -87.71962329675725)",,,,
048XX S LOOMIS BLVD,CRIMINAL DAMAGE,CONVENIENCE STORE,FALSE,FALSE,41.80666656,-87.65990834,"(41.80666656362381, -87.6599083389511)",,,,
052XX S DR MARTIN LUTHER KING JR DR,WEAPONS VIOLATION,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,41.79941811,-87.6162459,"(41.799418109063055, -87.61624589641534)",,,,
045XX S WABASH AVE,THEFT,APARTMENT,FALSE,FALSE,41.81247935,-87.62440142,"(41.812479349334076, -87.62440141561181)",,,,
014XX E 53RD ST,THEFT,OTHER,FALSE,FALSE,41.79942514,-87.58972631,"(41.7994251362414, -87.58972630720811)",,,,
024XX N MILWAUKEE AVE,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,41.92574418,-87.70175449,"(41.92574417551807, -87.7017544883447)",,,,
002XX S CANAL ST,CRIMINAL TRESPASS,OTHER RAILROAD PROP / TRAIN DEPOT,TRUE,FALSE,41.87891543,-87.63973267,"(41.8789154264838, -87.63973267005716)",,,,
029XX W WABANSIA AVE,BATTERY,APARTMENT,FALSE,TRUE,41.91222634,-87.69980465,"(41.912226339451884, -87.69980464880783)",,,,
024XX E 99TH ST,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,41.71544531,-87.56570092,"(41.71544531302948, -87.56570092145832)",,,,
013XX W CULLERTON ST,CRIMINAL TRESPASS,RESIDENCE,TRUE,FALSE,41.85528607,-87.6597913,"(41.85528607484487, -87.65979130058396)",,,,
033XX W SUNNYSIDE AVE,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.96308294,-87.71147883,"(41.96308293514844, -87.71147883218914)",,,,
046XX S HALSTED ST,CRIMINAL TRESPASS,GROCERY FOOD STORE,TRUE,FALSE,41.80960938,-87.6457078,"(41.80960937504154, -87.64570780113382)",,,,
