Latitude, Longitude, Zip Code, City, Description, count
37.677,-122.113,94541, SAN LORENZO , VANDALISM ($400 OR MORE) ,499
37.714,-122.022,94552, CASTRO VALLEY , FORGERY ,172
37.667,-122.1,94541, HAYWARD , DUI ALCOHOL/DRUGS ,514
37.686,-122.063,94546, CASTRO VALLEY , DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE ,713
37.698,-122.11,94578, SAN LEANDRO , KIDNAP TO COMMIT ROBBERY/RAPE/289 PC/ETC ,1571
37.753,-122.16,94605, OAKLAND , USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE ,25
37.763,-122.207,94621, OAKLAND , PERSON UNDER 21 DRIVING W/ B.A. 0.01% OR MORE ,51
37.674,-122.084,94541, HAYWARD , LICENSE SUSPENDED/REVOKED ,606
37.695,-122.11,94578, SAN LEANDRO , DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE ,1013
37.76,-122.202,94621, OAKLAND , DUI ALCOHOL/DRUGS ,14
37.765,-122.207,94601, OAKLAND , DUI ALCOHOL/0.08 PERCENT ,27
37.713,-122.138,94578, SAN LEANDRO , DUI ALCOHOL/DRUGS ,223
37.663,-122.106,94541, HAYWARD , USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE ,67
37.742,-122.146,94605, OAKLAND , DUI ALCOHOL/DRUGS ,10
37.688,-122.063,94546, CASTRO VALLEY , OUTSIDE AGENCY ASSIST ,786
37.681,-122.075,94546, CASTRO VALLEY , 72 HOUR MENTAL HEALTH ,936
37.699,-122.11,94578, SAN LEANDRO , DUI ALCOHOL/DRUGS ,749
37.665,-122.12,94541, HAYWARD , DUI ALCOHOL/DRUGS ,500
37.735,-122.14,94605, OAKLAND , USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE ,7
37.666,-122.115,94541, HAYWARD , FORCE OR ADW NOT FIREARM:GBI LIKELY ,561
37.685,-122.117,94580, SAN LORENZO , INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT ,705
