ZIP,Avg_Listing_Price,Median_Sales_Price,Popularity_Index_Trulia.com
94501,741196.00,620500.00,3
94502,648333.00,575000.00,34
94536,571442.00,590000.00,4
94538,548320.00,545000.00,10
94539,1441158.00,888000.00,8
94541,455316.00,375000.00,21
94542,599572.00,553000.00,32
94544,374005.00,366000.00,18
94545,366138.00,402000.00,35
94546,540629.00,337500.00,16
94550,838883.00,570000.00,12
94551,584212.00,483500.00,17
94552,1375810.00,1375810.00,29
94555,498732.00,635000.00,20
94560,469965.00,455000.00,26
94566,1172192.00,842000.00,5
94568,1035501.00,630500.00,2
94577,460927.00,410000.00,25
94578,369258.00,355000.00,31
94579,300885.00,416500.00,38
94580,371115.00,394250.00,33
94586,1524089.00,1524089.00,39
94587,518028.00,505000.00,14
94588,931689.00,717500.00,15
94601,406871.00,270750.00,23
94602,589903.00,630250.00,13
94603,244144.00,202000.00,30
94605,450489.00,311000.00,6
94606,350248.00,405000.00,28
94607,555140.00,360000.00,19
94608,439515.00,343000.00,11
94609,569933.00,614000.00,27
94610,840813.00,580000.00,7
94611,1067189.00,730000.00,1
94612,380472.00,534000.00,37
94618,835045.00,877500.00,22
94619,536943.00,430000.00,9
94621,292067.00,165000.00,36
94702,577625.00,565000.00,1
94703,576707.00,737500.00,1
94704,591642.00,700000.00,65
94705,1317588.00,1062500.00,45
94706,556474.00,610000.00,24
94707,1292629.00,902000.00,52
94708,1180101.00,1180101.00,1
94709,695500.00,734000.00,1
94710,522800.00,550000.00,1
