Block, Primary Type, Description, Location, Description, Arrest, Domestic, Count, Latitude, Longitude, Unemployed, House, Education, Street_Crime, Label
BLANK,BLANK, SAN LORENZO ,Outside, SAN LORENZO ,TRUE,TRUE,499,37.677, -122.113,582,455316,42,1,1 
BLANK,BLANK, CASTRO VALLEY ,Outside, CASTRO VALLEY ,TRUE,FALSE,172,37.714, -122.022,61,1375810,92,1,1 
BLANK,BLANK, HAYWARD ,Outside, HAYWARD ,FALSE,FALSE,514,37.667, -122.100,582,455316,42,0,0 
BLANK,BLANK, CASTRO VALLEY ,Outside, CASTRO VALLEY ,TRUE,TRUE,713,37.686, -122.063,437,540629,85,0,0 
BLANK,BLANK, SAN LEANDRO ,Outside, SAN LEANDRO ,TRUE,FALSE,1571,37.698, -122.110,618,369258,74,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,FALSE,25,37.753, -122.160,707,450489,49,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,FALSE,51,37.763, -122.207,672,292067,48,1,1 
BLANK,BLANK, HAYWARD ,Outside, HAYWARD ,FALSE,TRUE,606,37.674, -122.084,582,455316,42,0,0 
BLANK,BLANK, SAN LEANDRO ,Outside, SAN LEANDRO ,FALSE,FALSE,1013,37.695, -122.110,618,369258,74,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,TRUE,14,37.760, -122.202,672,292067,48,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,FALSE,27,37.765, -122.207,641,406871,59,0,0 
BLANK,BLANK, SAN LEANDRO ,Outside, SAN LEANDRO ,FALSE,TRUE,223,37.713, -122.138,618,369258,74,0,0 
BLANK,BLANK, HAYWARD ,Outside, HAYWARD ,TRUE,TRUE,67,37.663, -122.106,582,455316,42,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,TRUE,10,37.742, -122.146,707,450489,49,0,0 
BLANK,BLANK, CASTRO VALLEY ,Outside, CASTRO VALLEY ,FALSE,TRUE,786,37.688, -122.063,437,540629,85,1,1 
BLANK,BLANK, CASTRO VALLEY ,Outside, CASTRO VALLEY ,FALSE,FALSE,936,37.681, -122.075,437,540629,85,1,1 
BLANK,BLANK, SAN LEANDRO ,Outside, SAN LEANDRO ,FALSE,FALSE,749,37.699, -122.110,618,369258,74,0,0 
